TimeStamp;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
135044726315330;24999000;-4;437;1;17.036.726;3.0
135044759566893;24999000;-4;437;1;17.036.726;3.0
135044792683038;24999000;-4;437;1;17.036.726;3.0
135044826016893;24999000;-4;437;1;17.036.726;3.0
135044859807518;24999000;-4;437;1;17.036.726;3.0
135044893215851;24999000;-4;437;1;17.036.726;3.0
135044925802309;24999000;-4;437;1;17.036.726;3.0
135044958591372;24999000;-4;437;1;17.036.726;3.0
135044994511684;24999000;-4;437;1;17.036.726;3.0
135045025279913;24999000;-4;437;1;17.036.726;3.0
135045060664288;24999000;-4;437;1;17.036.726;3.0
135045091718976;24999000;-4;437;1;17.036.726;3.0
135045124423142;24999000;-4;437;1;17.036.726;3.0
135045159477830;24999000;-4;437;1;17.036.726;3.0
135045190883038;24999000;-4;437;1;17.036.726;3.0
135045226213767;24999000;-4;437;1;17.036.726;3.0
135045258871580;24999000;-4;437;1;17.036.726;3.0
135045293075747;24999000;-4;437;1;17.036.726;3.0
135045325104392;24999000;-4;437;1;17.036.726;3.0
135045360103872;24999000;-4;437;1;17.036.726;3.0
135045393017413;24999000;-4;437;1;17.036.726;3.0
135045424979913;24999000;-4;437;1;17.036.726;3.0
135045459328872;24999000;-4;437;1;17.036.726;3.0
135045493261163;24999000;-4;437;1;17.036.726;3.0
135045529881476;24999000;-4;437;1;17.036.726;3.0
135045558292934;24999000;-4;437;1;17.036.726;3.0
135045592900226;24999000;-4;437;1;17.036.726;3.0
135045626708559;24999000;-4;437;1;17.036.726;3.0
135045657828351;24999000;-4;437;1;17.036.726;3.0
135045693021059;24999000;-4;437;1;17.036.726;3.0
135045724781476;24999000;-4;437;1;17.036.726;3.0
135045757884601;24999000;-4;437;1;17.036.726;3.0
135045794534080;24999000;-4;437;1;17.036.726;3.0
135045826339809;24999000;-4;437;1;17.036.726;3.0
135045867413767;24999000;-4;437;1;17.036.726;3.0
135045891466372;24999000;-4;437;1;17.036.726;3.0
135045925029913;24999000;-4;437;1;17.036.726;3.0
135045957211684;24999000;-4;437;1;17.036.726;3.0
135045992434080;24999000;-4;437;1;17.036.726;3.0
135046023981476;24999000;-4;437;1;17.036.726;3.0
135046058187726;24999000;-4;437;1;17.036.726;3.0
135046094826267;24999000;-4;437;1;17.036.726;3.0
135046125629913;24999000;-4;437;1;17.036.726;3.0
135046159923663;24999000;-4;437;1;17.036.726;3.0
135046195041892;24999000;-4;437;1;17.036.726;3.0
135046224871580;24999000;-4;437;1;17.036.726;3.0
135046256900226;24999000;-4;437;1;17.036.726;3.0
135046291388767;24999000;-4;437;1;17.036.726;3.0
135046324516371;24999000;-4;437;1;17.036.726;3.0
135046356628871;24999000;-4;437;1;17.036.726;3.0
135046390937726;24999000;-4;437;1;17.036.726;3.0
135046425050226;24999000;-4;437;1;17.036.726;3.0
135046456760642;24999000;-4;437;1;17.036.726;3.0
135046492158559;24999000;-4;437;1;17.036.726;3.0
135046523226788;24999000;-4;437;1;17.036.726;3.0
135046558494496;24999000;-4;437;1;17.036.726;3.0
135046590310121;24999000;-4;437;1;17.036.726;3.0
135046623289809;24999000;-4;437;1;17.036.726;3.0
135046655817934;24999000;-4;437;1;17.036.726;3.0
135046690323663;24999000;-4;437;1;17.036.726;3.0
135046722571059;24999000;-4;437;1;17.036.726;3.0
135046756615851;24999000;-4;437;1;17.036.726;3.0
135046789329392;24999000;-4;437;1;17.036.726;3.0
135046823909080;24999000;-4;437;1;17.036.726;3.0
135046856414809;24999000;-4;437;1;17.036.726;3.0
135046890329913;24999000;-4;437;1;17.036.726;3.0
135046925086163;24999000;-4;437;1;17.036.726;3.0
135046956500746;24999000;-4;437;1;17.036.726;3.0
135046989511163;24999000;-4;437;1;17.036.726;3.0
135047023461163;24999000;-4;437;1;17.036.726;3.0
135047056657517;24999000;-4;437;1;17.036.726;3.0
135047089633559;24999000;-4;437;1;17.036.726;3.0
135047125134601;24999000;-4;437;1;17.036.726;3.0
135047157014809;24999000;-4;437;1;17.036.726;3.0
135047189268455;24999000;-4;437;1;17.036.726;3.0
135047222850746;24999000;-4;437;1;17.036.726;3.0
135047256180434;24999000;-4;437;1;17.036.726;3.0
135047291758038;24999000;-4;437;1;17.036.726;3.0
135047322666892;24999000;-4;437;1;17.036.726;3.0
135047356409080;24999000;-4;437;1;17.036.726;3.0
