TimeStamp;Hue;Brightness;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
135044726315330;2;100;24999000;-4;437;1;17.036.726;3.0
135044759566893;2;100;24999000;-4;437;1;17.036.726;3.0
135044792683038;2;100;24999000;-4;437;1;17.036.726;3.0
135044826016893;2;100;24999000;-4;437;1;17.036.726;3.0
135044859807518;2;100;24999000;-4;437;1;17.036.726;3.0
135044893215851;3;100;24999000;-4;437;1;17.036.726;3.0
135044925802309;1;100;24999000;-4;437;1;17.036.726;3.0
135044958591372;1;100;24999000;-4;437;1;17.036.726;3.0
135044994511684;3;100;24999000;-4;437;1;17.036.726;3.0
135045025279913;1;100;24999000;-4;437;1;17.036.726;3.0
135045060664288;2;100;24999000;-4;437;1;17.036.726;3.0
135045091718976;2;100;24999000;-4;437;1;17.036.726;3.0
135045124423142;2;100;24999000;-4;437;1;17.036.726;3.0
135045159477830;2;100;24999000;-4;437;1;17.036.726;3.0
135045190883038;2;100;24999000;-4;437;1;17.036.726;3.0
135045226213767;1;100;24999000;-4;437;1;17.036.726;3.0
135045258871580;1;100;24999000;-4;437;1;17.036.726;3.0
135045293075747;2;100;24999000;-4;437;1;17.036.726;3.0
135045325104392;2;100;24999000;-4;437;1;17.036.726;3.0
135045360103872;1;100;24999000;-4;437;1;17.036.726;3.0
135045393017413;3;100;24999000;-4;437;1;17.036.726;3.0
135045424979913;2;100;24999000;-4;437;1;17.036.726;3.0
135045459328872;2;100;24999000;-4;437;1;17.036.726;3.0
135045493261163;3;100;24999000;-4;437;1;17.036.726;3.0
135045529881476;2;100;24999000;-4;437;1;17.036.726;3.0
135045558292934;1;100;24999000;-4;437;1;17.036.726;3.0
135045592900226;3;100;24999000;-4;437;1;17.036.726;3.0
135045626708559;2;100;24999000;-4;437;1;17.036.726;3.0
135045657828351;2;100;24999000;-4;437;1;17.036.726;3.0
135045693021059;2;100;24999000;-4;437;1;17.036.726;3.0
135045724781476;0;0;24999000;-4;437;1;17.036.726;3.0
135045757884601;0;0;24999000;-4;437;1;17.036.726;3.0
135045794534080;0;0;24999000;-4;437;1;17.036.726;3.0
135045826339809;2;100;24999000;-4;437;1;17.036.726;3.0
135045867413767;4;100;24999000;-4;437;1;17.036.726;3.0
135045891466372;3;100;24999000;-4;437;1;17.036.726;3.0
135045925029913;2;100;24999000;-4;437;1;17.036.726;3.0
135045957211684;3;100;24999000;-4;437;1;17.036.726;3.0
135045992434080;2;100;24999000;-4;437;1;17.036.726;3.0
135046023981476;4;100;24999000;-4;437;1;17.036.726;3.0
135046058187726;3;100;24999000;-4;437;1;17.036.726;3.0
135046094826267;3;100;24999000;-4;437;1;17.036.726;3.0
135046125629913;4;100;24999000;-4;437;1;17.036.726;3.0
135046159923663;4;100;24999000;-4;437;1;17.036.726;3.0
135046195041892;3;100;24999000;-4;437;1;17.036.726;3.0
135046224871580;3;100;24999000;-4;437;1;17.036.726;3.0
135046256900226;3;100;24999000;-4;437;1;17.036.726;3.0
135046291388767;3;100;24999000;-4;437;1;17.036.726;3.0
135046324516371;5;100;24999000;-4;437;1;17.036.726;3.0
135046356628871;3;100;24999000;-4;437;1;17.036.726;3.0
135046390937726;2;100;24999000;-4;437;1;17.036.726;3.0
