TimeStamp;Hue;Brightness
74589360035273;17;100
74589376699273;17;100
74589393384273;17;100
74589410039273;18;100
74589426682273;17;100
74589443343273;17;100
74589460040273;17;100
74589476667273;18;100
74589493388273;17;100
74589509991273;18;100
74589526653273;17;100
74589543316273;17;100
74589559980273;18;100
74589576672273;18;100
74589593307273;19;100
74589609964273;19;100
74589626629273;17;100
74589659961273;19;100
74589676630273;18;100
74589693276273;17;100
74589709935273;18;100
74589726616273;17;100
74589743265273;18;100
74589759921273;18;100
74589776582273;19;100
74589793244273;19;100
74589809908273;18;100
74589826569273;18;100
74589843246273;18;100
74589859895273;18;100
74589876554273;18;100
74589893216273;20;100
74589926542273;17;100
74589943203273;18;100
74589993186273;13;100
74590009848273;13;100
74590026516273;9;100
74590043172273;8;100
74590059855273;5;100
74590076500273;4;100
74590093181273;2;100
74590109825273;1;100
74590126486273;3;100
74590143178273;6;100
74590159813273;6;100
74590176471273;6;100
74590193151273;6;100
74590209794273;6;100
74590226452273;6;100
74590243115273;6;100
74590259776273;6;100
74590276483273;6;100
74590293117273;5;100
74590309766273;6;100
74590326447273;6;100
74590343109273;6;100
74590359755273;2;100
74590376419273;0;0
74590393074273;0;0
74590409742273;0;0
74590426402273;0;0
74590443072273;0;0
74590459742273;5;100
74590476393273;6;100
74590493055273;6;100
74590509717273;6;100
74590526374273;6;100
74590543034273;6;100
74590559701273;6;100
74590576359273;6;100
74590593019273;6;100
74590609681273;6;100
74590626350273;6;100
74590643007273;5;100
74590659676273;6;100
74590676336273;6;100
74590692994273;6;100
74590709668273;5;100
74590726317273;6;100
74590742982273;6;100
74590759646273;6;100
74590776323273;6;100
74590792963273;6;100
74590809668273;6;100
74590826290273;6;100
74590842965273;5;100
74590859651273;6;100
74590876279273;6;100
74590892988273;6;100
74590909624273;6;100
74590926318273;6;100
74590942934273;6;100
74590959583273;6;100
74590976249273;6;100
74590992906273;6;100
74591009569273;6;100
74591026230273;6;100
74591042890273;6;100
74591059555273;6;100
74591076224273;5;100
74591092883273;6;100
74591109549273;6;100
74591126209273;6;100
74591142868273;6;100
74591159523273;6;100
74591176191273;7;100
74591192856273;6;100
74591209511273;6;100
74591226176273;6;100
74591242839273;6;100
74591259512273;6;100
74591276157273;6;100
74591292837273;7;100
74591326148273;6;100
74591342842273;6;100
74591359468273;6;100
74591376133273;6;100
74591392803273;6;100
74591409477273;6;100
74591426117273;6;100
74591442780273;6;100
74591459443273;2;100
74591476104273;0;0
74591492766273;0;0
74591509427273;0;0
74591526103273;0;0
74591542752273;0;0
74591559410273;4;100
74591576085273;6;100
74591592747273;6;100
74591609472273;5;100
74591626116273;6;100
74591642750273;6;100
74591676049273;6;100
74591692717273;6;100
74591709397273;6;100
74591726032273;6;100
74591742702273;6;100
74591759367273;6;100
74591776022273;6;100
74591792690273;6;100
74591809347273;6;100
74591842669273;6;100
74591859329273;6;100
74591875998273;6;100
74591892654273;6;100
74591909319273;6;100
74591925983273;6;100
74591959360273;6;100
74591975968273;6;100
74592009289273;6;100
74592025954273;6;100
74592059281273;6;100
74592092601273;6;100
74592109277273;6;100
74592142587273;6;100
74592159250273;7;100
74592192571273;7;100
74592209235273;6;100
74592225897273;6;100
74592242557273;6;100
74592259222273;6;100
74592275898273;6;100
74592325864273;6;100
74592342528273;6;100
74592392523273;6;100
74592409177273;6;100
74592442518273;6;100
74592459166273;6;100
74592475836273;6;100
74592492488273;6;100
74592509146273;6;100
74592525804273;6;100
74592542486273;6;100
74592575818273;0;0
74592592459273;0;0
74592609126273;0;0
74592625782273;0;0
74592642447273;0;0
74592659121273;10;100
74592675780273;15;100
74592692430273;15;100
74592709091273;15;100
74592725774273;14;100
74592742416273;14;100
74592775747273;14;100
74592792401273;15;100
74592809077273;14;100
74592825734273;15;100
74592842383273;15;100
74592859048273;15;100
74592892376273;14;100
74592909038273;14;100
74592925701273;14;100
74592942358273;14;100
74592992351273;15;100
74593009027273;15;100
74593025671273;15;100
74593058996273;14;100
74593075655273;15;100
74593092326273;14;100
74593108982273;14;100
74593125641273;14;100
74593142300273;15;100
74593158976273;14;100
74593175631273;15;100
74593208950273;14;100
74593225610273;14;100
74593242276273;15;100
74593275622273;14;100
74593292266273;14;100
74593308931273;14;100
74593342253273;14;100
74593358911273;14;100
74593392237273;15;100
74593408897273;14;100
74593425563273;15;100
74593442223273;15;100
74593458890273;15;100
74593475545273;14;100
74593492214273;14;100
74593508869273;14;100
74593525545273;14;100
74593542222273;15;100
74593558857273;14;100
74593592174273;15;100
74593608839273;13;100
74593642169273;14;100
74593658827273;7;100
74593675493273;0;0
74593692161273;0;0
74593708814273;0;0
