TimeStamp;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
74589360035273;10002455;-12;138;1;0.4651163;3.133
74589376699273;10002455;-12;138;1;0.4651163;3.133
74589393384273;10002455;-12;138;1;0.4651163;3.133
74589410039273;10002455;-12;138;1;0.4651163;3.133
74589426682273;10002455;-12;138;1;0.4651163;3.133
74589443343273;10002455;-12;138;1;0.4651163;3.133
74589460040273;10002455;-12;138;1;0.4651163;3.133
74589476667273;10002455;-12;138;1;0.4651163;3.133
74589493388273;10002455;-12;138;1;0.4651163;3.133
74589509991273;10002455;-12;138;1;0.4651163;3.133
74589526653273;10002455;-12;138;1;0.4651163;3.133
74589543316273;10002455;-12;138;1;0.4651163;3.133
74589559980273;10002455;-12;138;1;0.4651163;3.133
74589576672273;10002455;-12;138;1;0.4651163;3.133
74589593307273;10002455;-12;138;1;0.4651163;3.133
74589609964273;10002455;-12;138;1;0.4651163;3.133
74589626629273;10002455;-12;138;1;0.4651163;3.133
74589659961273;10002455;-12;138;1;0.4651163;3.133
74589676630273;10002455;-12;138;1;0.4651163;3.133
74589693276273;10002455;-12;138;1;0.4651163;3.133
74589709935273;10002455;-12;138;1;0.4651163;3.133
74589726616273;10002455;-12;138;1;0.4651163;3.133
74589743265273;10002455;-12;138;1;0.4651163;3.133
74589759921273;10002455;-12;138;1;0.4651163;3.133
74589776582273;10002455;-12;138;1;0.4651163;3.133
74589793244273;10002455;-12;138;1;0.4651163;3.133
74589809908273;10002455;-12;138;1;0.4651163;3.133
74589826569273;10002455;-12;138;1;0.4651163;3.133
74589843246273;10002455;-12;138;1;0.4651163;3.133
74589859895273;10002455;-12;138;1;0.4651163;3.133
74589876554273;10002455;-12;138;1;0.4651163;3.133
74589893216273;10002455;-12;138;1;0.24691357;3.133
74589926542273;10002455;-12;138;1;13.043.479;3.133
74589943203273;10002455;-12;138;1;13.043.479;3.133
74589993186273;10002455;-12;138;1;27.884.617;3.133
74590009848273;10002455;-12;138;1;27.884.617;3.133
74590026516273;10002455;-12;138;1;35.064.936;3.133
74590043172273;10002455;-12;138;1;35.064.936;3.133
74590059855273;10002455;-12;138;1;41.860.466;3.133
74590076500273;10002455;-12;138;1;41.860.466;3.133
74590093181273;10002455;-12;138;1;5.291.005;3.133
74590109825273;10002455;-12;138;1;5.291.005;3.133
74590126486273;10002455;-12;138;1;36.986.303;3.133
74590143178273;10002455;-12;138;1;36.986.303;3.133
74590159813273;10002455;-12;138;1;36.986.303;3.133
74590176471273;10002455;-12;138;1;36.986.303;3.133
74590193151273;10002455;-12;138;1;36.986.303;3.133
74590209794273;10002455;-12;138;1;36.986.303;3.133
74590226452273;10002455;-12;138;1;36.986.303;3.133
74590243115273;10002455;-12;138;1;36.986.303;3.133
74590259776273;10002455;-12;138;1;36.986.303;3.133
74590276483273;10002455;-12;138;1;36.986.303;3.133
74590293117273;10002455;-12;138;1;36.986.303;3.133
74590309766273;10002455;-12;138;1;36.986.303;3.133
74590326447273;10002455;-12;138;1;36.986.303;3.133
74590343109273;10002455;-12;138;1;36.986.303;3.133
74590359755273;10002455;-12;138;1;36.986.303;3.133
74590376419273;10002455;-12;138;1;36.986.303;3.133
74590393074273;10002455;-12;138;1;36.986.303;3.133
74590409742273;10002455;-12;138;1;36.986.303;3.133
74590426402273;10002455;-12;138;1;36.986.303;3.133
74590443072273;10002455;-12;138;1;36.986.303;3.133
74590459742273;10002455;-12;138;1;36.986.303;3.133
74590476393273;10002455;-12;138;1;36.986.303;3.133
74590493055273;10002455;-12;138;1;36.986.303;3.133
74590509717273;10002455;-12;138;1;36.986.303;3.133
74590526374273;10002455;-12;138;1;36.986.303;3.133
74590543034273;10002455;-12;138;1;36.986.303;3.133
74590559701273;10002455;-12;138;1;36.986.303;3.133
74590576359273;10002455;-12;138;1;36.986.303;3.133
74590593019273;10002455;-12;138;1;36.986.303;3.133
74590609681273;10002455;-12;138;1;36.986.303;3.133
74590626350273;10002455;-12;138;1;36.986.303;3.133
74590643007273;10002455;-12;138;1;36.986.303;3.133
74590659676273;10002455;-12;138;1;36.986.303;3.133
74590676336273;10002455;-12;138;1;36.986.303;3.133
74590692994273;10002455;-12;138;1;36.986.303;3.133
74590709668273;10002455;-12;138;1;36.986.303;3.133
74590726317273;10002455;-12;138;1;36.986.303;3.133
74590742982273;10002455;-12;138;1;36.986.303;3.133
74590759646273;10002455;-12;138;1;36.986.303;3.133
74590776323273;10002455;-12;138;1;36.986.303;3.133
74590792963273;10002455;-12;138;1;36.986.303;3.133
74590809668273;10002455;-12;138;1;36.986.303;3.133
74590826290273;10002455;-12;138;1;36.986.303;3.133
74590842965273;10002455;-12;138;1;36.986.303;3.133
74590859651273;10002455;-12;138;1;36.986.303;3.133
74590876279273;10002455;-12;138;1;36.986.303;3.133
74590892988273;10002455;-12;138;1;36.986.303;3.133
74590909624273;10002455;-12;138;1;36.986.303;3.133
74590926318273;10002455;-12;138;1;36.986.303;3.133
74590942934273;10002455;-12;138;1;36.986.303;3.133
74590959583273;10002455;-12;138;1;36.986.303;3.133
74590976249273;10002455;-12;138;1;36.986.303;3.133
74590992906273;10002455;-12;138;1;36.986.303;3.133
74591009569273;10002455;-12;138;1;36.986.303;3.133
74591026230273;10002455;-12;138;1;36.986.303;3.133
74591042890273;10002455;-12;138;1;36.986.303;3.133
74591059555273;10002455;-12;138;1;36.986.303;3.133
74591076224273;10002455;-12;138;1;36.986.303;3.133
74591092883273;10002455;-12;138;1;36.986.303;3.133
74591109549273;10002455;-12;138;1;36.986.303;3.133
74591126209273;10002455;-12;138;1;36.986.303;3.133
74591142868273;10002455;-12;138;1;36.986.303;3.133
74591159523273;10002455;-12;138;1;36.986.303;3.133
74591176191273;10002455;-12;138;1;36.986.303;3.133
74591192856273;10002455;-12;138;1;36.986.303;3.133
74591209511273;10002455;-12;138;1;36.986.303;3.133
74591226176273;10002455;-12;138;1;36.986.303;3.133
74591242839273;10002455;-12;138;1;36.986.303;3.133
74591259512273;10002455;-12;138;1;36.986.303;3.133
74591276157273;10002455;-12;138;1;36.986.303;3.133
74591292837273;10002455;-12;138;1;36.986.303;3.133
74591326148273;10002455;-12;138;1;36.986.303;3.133
74591342842273;10002455;-12;138;1;36.986.303;3.133
74591359468273;10002455;-12;138;1;36.986.303;3.133
74591376133273;10002455;-12;138;1;36.986.303;3.133
74591392803273;10002455;-12;138;1;36.986.303;3.133
74591409477273;10002455;-12;138;1;36.986.303;3.133
74591426117273;10002455;-12;138;1;36.986.303;3.133
74591442780273;10002455;-12;138;1;36.986.303;3.133
74591459443273;10002455;-12;138;1;36.986.303;3.133
74591476104273;10002455;-12;138;1;36.986.303;3.133
74591492766273;10002455;-12;138;1;36.986.303;3.133
74591509427273;10002455;-12;138;1;36.986.303;3.133
74591526103273;10002455;-12;138;1;36.986.303;3.133
74591542752273;10002455;-12;138;1;36.986.303;3.133
74591559410273;10002455;-12;138;1;36.986.303;3.133
74591576085273;10002455;-12;138;1;36.986.303;3.133
74591592747273;10002455;-12;138;1;36.986.303;3.133
74591609472273;10002455;-12;138;1;36.986.303;3.133
74591626116273;10002455;-12;138;1;36.986.303;3.133
74591642750273;10002455;-12;138;1;36.986.303;3.133
74591676049273;10002455;-12;138;1;36.986.303;3.133
74591692717273;10002455;-12;138;1;36.986.303;3.133
74591709397273;10002455;-12;138;1;36.986.303;3.133
74591726032273;10002455;-12;138;1;36.986.303;3.133
74591742702273;10002455;-12;138;1;36.986.303;3.133
74591759367273;10002455;-12;138;1;36.986.303;3.133
74591776022273;10002455;-12;138;1;36.986.303;3.133
74591792690273;10002455;-12;138;1;36.986.303;3.133
74591809347273;10002455;-12;138;1;36.986.303;3.133
74591842669273;10002455;-12;138;1;36.986.303;3.133
74591859329273;10002455;-12;138;1;36.986.303;3.133
74591875998273;10002455;-12;138;1;36.986.303;3.133
74591892654273;10002455;-12;138;1;36.986.303;3.133
74591909319273;10002455;-12;138;1;36.986.303;3.133
74591925983273;10002455;-12;138;1;36.986.303;3.133
74591959360273;10002455;-12;138;1;36.986.303;3.133
74591975968273;10002455;-12;138;1;36.986.303;3.133
74592009289273;10002455;-12;138;1;36.986.303;3.133
74592025954273;10002455;-12;138;1;36.986.303;3.133
74592059281273;10002455;-12;138;1;36.986.303;3.133
74592092601273;10002455;-12;138;1;36.986.303;3.133
74592109277273;10002455;-12;138;1;36.986.303;3.133
74592142587273;10002455;-12;138;1;36.986.303;3.133
74592159250273;10002455;-12;138;1;36.986.303;3.133
74592192571273;10002455;-12;138;1;36.986.303;3.133
74592209235273;10002455;-12;138;1;36.986.303;3.133
74592225897273;10002455;-12;138;1;36.986.303;3.133
74592242557273;10002455;-12;138;1;36.986.303;3.133
74592259222273;10002455;-12;138;1;36.986.303;3.133
74592275898273;10002455;-12;138;1;36.986.303;3.133
74592325864273;10002455;-12;138;1;36.986.303;3.133
74592342528273;10002455;-12;138;1;36.986.303;3.133
74592392523273;10002455;-12;138;1;36.986.303;3.133
74592409177273;10002455;-12;138;1;36.986.303;3.133
74592442518273;10002455;-12;138;1;36.986.303;3.133
74592459166273;10002455;-12;138;1;36.986.303;3.133
74592475836273;10002455;-12;138;1;36.986.303;3.133
74592492488273;10002455;-12;138;1;36.986.303;3.133
74592509146273;10002455;-12;138;1;36.986.303;3.133
74592525804273;10002455;-12;138;1;36.986.303;3.133
74592542486273;10002455;-12;138;1;36.986.303;3.133
74592575818273;10002455;-12;138;1;36.986.303;3.133
74592592459273;10002455;-12;138;1;36.986.303;3.133
74592609126273;10002455;-12;138;1;36.986.303;3.133
74592625782273;10002455;-12;138;1;36.986.303;3.133
74592642447273;10002455;-12;138;1;36.986.303;3.133
74592659121273;10002455;-12;138;1;36.986.303;3.133
74592675780273;10002455;-12;138;1;36.986.303;3.133
74592692430273;10002455;-12;138;1;36.986.303;3.133
74592709091273;10002455;-12;138;1;36.986.303;3.133
74592725774273;10002455;-12;138;1;36.986.303;3.133
74592742416273;10002455;-12;138;1;36.986.303;3.133
74592775747273;10002455;-12;138;1;36.986.303;3.133
74592792401273;10002455;-12;138;1;36.986.303;3.133
74592809077273;10002455;-12;138;1;36.986.303;3.133
74592825734273;10002455;-12;138;1;36.986.303;3.133
74592842383273;10002455;-12;138;1;36.986.303;3.133
74592859048273;10002455;-12;138;1;36.986.303;3.133
74592892376273;10002455;-12;138;1;36.986.303;3.133
74592909038273;10002455;-12;138;1;36.986.303;3.133
