TimeStamp;Hue;Brightness
1269744762646800;9;100
1269744796061000;11;100
1269744829403380;9;100
1269744862620840;10;100
1269744896026730;10;100
1269744929282760;10;100
1269744962720230;10;100
1269744995971960;10;100
1269745029353570;10;100
1269745062563650;9;100
1269745095991650;9;100
1269745129215840;9;100
1269745162540840;9;100
1269745195948920;10;100
1269745229190990;9;100
1269745262530420;9;100
1269745295834300;9;100
1269745329273490;9;100
1269745362476420;8;100
1269745395810380;8;100
1269745429127460;9;100
1269745462500730;8;100
1269745495797110;9;100
1269745529098800;10;100
1269745562432920;9;100
1269745595760840;8;100
1269745629076650;8;100
1269745662401990;9;100
1269745695721420;9;100
1269745729048960;9;100
1269745762371800;9;100
1269745795703380;0;0
1269745829123300;0;0
1269745862337800;8;100
1269745895665880;9;100
1269745928999420;9;100
1269745962408150;9;100
1269745995645730;10;100
1269746028973840;10;100
1269746062318110;9;100
1269746095625800;10;100
1269746128948340;10;100
1269746162271610;10;100
1269746195597030;9;100
1269746229015460;10;100
1269746262255110;9;100
1269746295561420;9;100
1269746328891570;10;100
1269746362217990;9;100
1269746395534530;8;100
1269746428856380;9;100
1269746462191800;9;100
1269746495507530;9;100
1269746528846650;9;100
1269746562235300;9;100
1269746595501070;8;100
1269746628827530;8;100
1269746662132530;8;100
1269746695450460;8;100
1269746728785340;8;100
1269746762127380;8;100
1269746795546340;8;100
1269746828758720;8;100
1269746862178960;7;100
1269746895418070;0;0
1269746928862570;0;0
1269746962172380;8;100
1269746995380720;9;100
1269747028706990;9;100
1269747062123420;9;100
1269747095344610;9;100
1269747128666990;8;100
1269747162013070;9;100
1269747195314720;9;100
1269747228650150;10;100
1269747262074340;9;100
1269747295293380;9;100
1269747328610920;9;100
1269747361954300;9;100
1269747395262920;9;100
1269747428587190;9;100
1269747462017220;10;100
1269747495243920;9;100
1269747528666720;9;100
1269747561883340;10;100
1269747595206420;9;100
1269747628642110;10;100
1269747661852420;9;100
1269747695179220;9;100
1269747728623570;10;100
1269747761918300;10;100
1269747795146880;10;100
1269747828578760;10;100
1269747861900920;10;100
1269747895133490;9;100
1269747928549220;9;100
1269747961780070;9;100
1269747995097190;0;0
1269748028543340;0;0
1269748061922220;8;100
