TimeStamp;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
1269744762646800;19990000;-19;100;1;12.830.445;4.806
1269744796061000;19990000;-19;100;1;12.830.445;4.806
1269744829403380;19990000;-19;100;1;12.830.445;4.806
1269744862620840;19990000;-19;100;1;12.830.445;4.806
1269744896026730;19990000;-19;100;1;12.830.445;4.806
1269744929282760;19990000;-19;100;1;12.830.445;4.806
1269744962720230;19990000;-19;100;1;12.830.445;4.806
1269744995971960;19990000;-19;100;1;12.830.445;4.806
1269745029353570;19990000;-19;100;1;12.830.445;4.806
1269745062563650;19990000;-19;100;1;12.830.445;4.806
1269745095991650;19990000;-19;100;1;12.830.445;4.806
1269745129215840;19990000;-19;100;1;12.830.445;4.806
1269745162540840;19990000;-19;100;1;12.830.445;4.806
1269745195948920;19990000;-19;100;1;12.830.445;4.806
1269745229190990;19990000;-19;100;1;12.830.445;4.806
1269745262530420;19990000;-19;100;1;12.830.445;4.806
1269745295834300;19990000;-19;100;1;12.830.445;4.806
1269745329273490;19990000;-19;100;1;12.830.445;4.806
1269745362476420;19990000;-19;100;1;12.830.445;4.806
1269745395810380;19990000;-19;100;1;12.830.445;4.806
1269745429127460;19990000;-19;100;1;12.830.445;4.806
1269745462500730;19990000;-19;100;1;12.830.445;4.806
1269745495797110;19990000;-19;100;1;12.830.445;4.806
1269745529098800;19990000;-19;100;1;12.830.445;4.806
1269745562432920;19990000;-19;100;1;12.830.445;4.806
1269745595760840;19990000;-19;100;1;12.830.445;4.806
1269745629076650;19990000;-19;100;1;12.830.445;4.806
1269745662401990;19990000;-19;100;1;12.830.445;4.806
1269745695721420;19990000;-19;100;1;12.830.445;4.806
1269745729048960;19990000;-19;100;1;12.830.445;4.806
1269745762371800;19990000;-19;100;1;12.830.445;4.806
1269745795703380;19990000;-19;100;1;12.830.445;4.806
1269745829123300;19990000;-19;100;1;12.830.445;4.806
1269745862337800;19990000;-19;100;1;12.830.445;4.806
1269745895665880;19990000;-19;100;1;12.830.445;4.806
