TimeStamp;Hue;Brightness
138001422935191;8;100
138001456834150;3;100
138001490287275;1;100
138001522892483;9;100
138001556670087;13;100
138001592921129;2;100
138001623022691;4;100
138001655758629;12;100
138001689138837;7;100
138001722135712;11;100
138001755019566;19;100
138001789176858;3;100
138001821921129;9;100
138001856729462;3;100
138001889673212;2;100
138001923365920;7;100
138001959418525;3;100
138001991274775;3;100
138002024944045;3;100
138002055747170;4;100
138002091279462;1;100
138002122062795;8;100
138002157847170;9;100
138002189072170;5;100
138002222565920;359;100
138002255288837;19;100
138002288078420;9;100
138002322504983;17;100
138002354490920;6;100
138002388380504;8;100
138002420944045;356;100
138002455367483;0;0
138002488017483;0;0
138002521773733;7;100
138002554445087;9;100
138002587657066;23;100
138002620995608;18;100
138002654766441;9;100
138002688075295;25;100
138002721073733;4;100
138002754550816;17;100
138002787484150;9;100
138002821086754;18;100
138002854889358;22;100
138002887657066;4;100
138002920959670;19;100
138002953877379;7;100
138002987457066;22;100
138003020822170;9;100
138003053685712;0;0
138003089295608;10;100
138003123305504;20;100
138003153841441;9;100
138003191920087;7;100
138003223374254;20;100
138003257080504;7;100
138003286943004;10;100
138003321117483;27;100
138003354427379;10;100
138003391725295;10;100
138003421785191;0;0
138003453472691;10;100
138003487741441;18;100
138003519585191;0;100
138003554237795;0;0
138003587500816;0;0
138003619786754;3;100
138003653226858;16;100
138003686708629;23;100
138003720510191;3;100
138003755362274;7;100
138003786413837;17;100
138003819420608;6;100
138003852503941;24;100
138003886276858;6;100
138003919444566;6;100
138003952739358;22;100
138003986595608;23;100
138004024605503;9;100
138004052729462;23;100
138004086128941;9;100
138004120438837;7;100
138004152935712;8;100
138004186105503;23;100
138004219227899;25;100
138004252683628;4;100
138004286094566;19;100
138004320344045;16;100
138004352978420;20;100
138004387646649;9;100
138004420156024;10;100
138004452424253;7;100
138004485421649;20;100
138004519008628;7;100
138004552837795;7;100
138004586085191;5;100
138004618945608;4;100
138004654065920;0;0
138004686115920;0;0
138004720449774;1;100
138004754689878;8;100
138004788233108;7;100
138004820355503;7;100
138004854021649;7;100
138004885668524;8;100
138004918939358;8;100
138004953499253;9;100
138004987545087;6;100
138005020730503;7;100
138005056834670;10;100
138005086553941;7;100
138005119170607;6;100
138005155742482;9;100
138005186065920;8;100
138005224236753;8;100
138005253191962;7;100
138005284861753;7;100
138005318310191;10;100
138005353144566;9;100
138005384503941;6;100
138005417858628;8;100
138005453161753;7;100
138005484521649;8;100
138005517980503;8;100
138005551531024;6;100
138005584593524;8;100
138005617418524;8;100
138005652272170;7;100
138005685003941;7;100
138005717697691;5;100
138005751311753;0;0
138005784288837;0;0
138005817804462;355;100
138005851656024;8;100
138005883635712;7;100
138005917694566;7;100
138005954288837;8;100
138005984178420;8;100
138006017713316;6;100
138006050786232;8;100
138006085214357;6;100
138006118414357;7;100
138006151862274;7;100
138006185645086;7;100
138006217344566;7;100
138006252084670;8;100
138006287889878;7;100
138006317346649;8;100
138006352933107;6;100
138006386689878;7;100
138006421757586;7;100
138006452959670;8;100
138006487383628;9;100
138006517548211;8;100
138006550904461;7;100
138006583831545;7;100
138006617872170;7;100
138006654189878;7;100
138006686570086;8;100
138006719410711;10;100
138006749755503;8;100
138006783314357;6;100
138006816065920;9;100
138006849557066;0;0
138006883334670;0;0
138006917012274;0;0
138006949685711;6;100
138006985129982;11;100
138007016271649;7;100
138007051362274;7;100
138007083452899;6;100
138007116651336;9;100
138007149262795;7;100
138007183353941;9;100
138007216085711;7;100
138007250417482;9;100
138007282385190;9;100
138007316547170;6;100
138007349757065;9;100
138007382562795;9;100
138007417445086;9;100
138007451138836;7;100
138007482518003;7;100
138007517080503;6;100
138007550453420;9;100
138007582694565;7;100
138007616289357;10;100
138007650212795;10;100
138007685251857;9;100
138007717394045;9;100
138007749861232;9;100
138007783422690;7;100
138007816122690;10;100
138007849918003;8;100
138007883525815;7;100
138007915697690;7;100
138007948620607;0;0
138007981831024;0;0
138008019843003;0;0
138008050226336;9;100
138008085301857;7;100
138008119066961;8;100
138008151923732;7;100
138008188249774;6;100
138008219630503;8;100
138008248927899;6;100
138008282535711;8;100
138008316897169;7;100
138008347966961;9;100
138008386755503;9;100
138008415290919;7;100
138008449780503;6;100
138008482628419;9;100
138008515212794;6;100
138008547807586;7;100
138008581196128;9;100
138008614258107;7;100
138008649034669;9;100
138008681284669;7;100
