TimeStamp;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
138001422935191;8333000;-4;80;1;0.0;2.959
138001456834150;8333000;-4;80;1;0.0;2.959
138001490287275;8333000;-4;80;1;0.0;2.959
138001522892483;8333000;-4;80;1;0.0;2.959
138001556670087;8333000;-4;80;1;0.0;2.959
138001592921129;8333000;-4;80;1;0.0;2.959
138001623022691;8333000;-4;80;1;0.0;2.959
138001655758629;8333000;-4;80;1;0.0;2.959
138001689138837;8333000;-4;80;1;0.33514872;2.959
138001722135712;8333000;-4;80;1;0.33514872;2.959
138001755019566;8333000;-4;80;1;17.036.726;2.959
138001789176858;8333000;-4;80;1;17.036.726;2.959
138001821921129;8333000;-4;80;1;3.058.232;2.959
138001856729462;8333000;-4;80;1;3.058.232;2.959
138001889673212;8333000;-4;80;1;17.036.726;2.959
138001923365920;8333000;-4;80;1;0.75408465;2.959
138001959418525;8333000;-4;80;1;0.75408465;2.959
138001991274775;8333000;-4;80;1;0.75408465;2.959
138002024944045;8333000;-4;80;1;0.75408465;2.959
138002055747170;8333000;-4;80;1;0.75408465;2.959
138002091279462;8333000;-4;80;1;0.75408465;2.959
138002122062795;8333000;-4;80;1;0.75408465;2.959
138002157847170;8333000;-4;80;1;0.75408465;2.959
138002189072170;8333000;-4;80;1;0.75408465;2.959
138002222565920;8333000;-4;80;1;0.75408465;2.959
138002255288837;8333000;-4;80;1;0.75408465;2.959
138002288078420;8333000;-4;80;1;0.75408465;2.959
138002322504983;8333000;-4;80;1;0.75408465;2.959
138002354490920;8333000;-4;80;1;0.75408465;2.959
138002388380504;8333000;-4;80;1;0.75408465;2.959
138002420944045;8333000;-4;80;1;0.75408465;2.959
138002455367483;8333000;-4;80;1;0.75408465;2.959
138002488017483;8333000;-4;80;1;0.75408465;2.959
138002521773733;8333000;-4;80;1;0.75408465;2.959
138002554445087;8333000;-4;80;1;0.75408465;2.959
138002587657066;8333000;-4;80;1;0.75408465;2.959
138002620995608;8333000;-4;80;1;0.75408465;2.959
138002654766441;8333000;-4;80;1;0.75408465;2.959
138002688075295;8333000;-4;80;1;0.75408465;2.959
138002721073733;8333000;-4;80;1;0.75408465;2.959
138002754550816;8333000;-4;80;1;0.75408465;2.959
138002787484150;8333000;-4;80;1;0.75408465;2.959
138002821086754;8333000;-4;80;1;0.75408465;2.959
138002854889358;8333000;-4;80;1;0.75408465;2.959
138002887657066;8333000;-4;80;1;0.75408465;2.959
138002920959670;8333000;-4;80;1;0.75408465;2.959
138002953877379;8333000;-4;80;1;0.75408465;2.959
138002987457066;8333000;-4;80;1;0.75408465;2.959
