TimeStamp;Hue;Brightness
75701051090273;8;100
75701067747273;25;100
75701084414273;20;100
75701101076273;23;100
75701117739273;25;100
75701134402273;24;100
75701151064273;23;100
75701167721273;24;100
75701184386273;24;100
75701201055273;26;100
75701217749273;25;100
75701234369273;25;100
75701251028273;24;100
75701267690273;26;100
75701284351273;25;100
75701301017273;24;100
75701317677273;26;100
75701334344273;25;100
75701351001273;24;100
75701367674273;24;100
75701384323273;26;100
75701400989273;23;100
75701417658273;24;100
75701434313273;25;100
75701450978273;24;100
75701467648273;25;100
75701484302273;24;100
75701500966273;24;100
75701517630273;22;100
75701534288273;25;100
75701550948273;23;100
75701567601273;23;100
75701584271273;23;100
75701600928273;24;100
75701617595273;25;100
75701634254273;25;100
75701650915273;23;100
75701667592273;21;100
75701684254273;26;100
75701700914273;23;100
75701717569273;24;100
75701734225273;24;100
75701750892273;24;100
75701767585273;25;100
75701784217273;23;100
75701800874273;20;100
75701817537273;24;100
75701834206273;25;100
75701850864273;24;100
75701867578273;25;100
75701884277273;25;100
75701900847273;25;100
75701917518273;24;100
75701934178273;25;100
75701950832273;23;100
75701967495273;25;100
75701984155273;23;100
75702000822273;24;100
75702017478273;23;100
75702034195273;25;100
75702050800273;22;100
75702067468273;0;0
75702084139273;0;0
75702100791273;0;0
75702117454273;0;0
75702134143273;0;0
75702150776273;0;0
75702167454273;24;100
75702184105273;24;100
75702200768273;20;100
75702217429273;24;100
75702234089273;24;100
75702250748273;25;100
75702267412273;25;100
75702284073273;24;100
75702300736273;25;100
75702317394273;23;100
75702334059273;26;100
75702350743273;23;100
75702367383273;24;100
75702384045273;25;100
75702400708273;26;100
75702417385273;23;100
75702434032273;23;100
75702450693273;24;100
75702467356273;22;100
75702484021273;23;100
75702500676273;24;100
75702517343273;26;100
75702534004273;24;100
75702550661273;24;100
75702567328273;24;100
75702583990273;25;100
75702600650273;23;100
75702617330273;25;100
75702633984273;24;100
75702650634273;26;100
75702667301273;25;100
75702683960273;23;100
75702700621273;23;100
75702717291273;22;100
75702733948273;25;100
75702750610273;24;100
75702767267273;21;100
75702783930273;25;100
75702800701273;25;100
75702817254273;24;100
75702833919273;25;100
75702850574273;26;100
75702867239273;24;100
75702883899273;25;100
75702900567273;26;100
75702917265273;24;100
75702933890273;23;100
75702950609273;23;100
75702967216273;25;100
75702983899273;26;100
75703000550273;24;100
75703017200273;25;100
75703033864273;23;100
75703050527273;25;100
75703067211273;25;100
75703083871273;26;100
75703100517273;24;100
75703117184273;25;100
75703133853273;21;100
75703150496273;24;100
75703167157273;0;0
75703183817273;0;0
75703200487273;0;0
75703217191273;0;0
75703233814273;0;0
75703250471273;0;0
75703267131273;24;100
75703283797273;23;100
75703300459273;26;100
75703317117273;23;100
75703333825273;24;100
75703350437273;23;100
75703367105273;24;100
75703383765273;23;100
75703400426273;23;100
75703417101273;23;100
75703433756273;22;100
75703450413273;25;100
75703467096273;23;100
75703483737273;24;100
75703500396273;24;100
75703517062273;24;100
75703533723273;25;100
75703550380273;23;100
75703567044273;25;100
75703583711273;25;100
75703600372273;24;100
75703617029273;21;100
75703633698273;24;100
75703650359273;25;100
75703667059273;25;100
75703683689273;25;100
75703700349273;25;100
75703717011273;25;100
75703733703273;24;100
75703750349273;23;100
75703767014273;24;100
75703783651273;25;100
75703800311273;25;100
75703816977273;24;100
75703833634273;25;100
75703850310273;25;100
75703867052273;27;100
75703883617273;25;100
75703900298273;23;100
75703916944273;26;100
75703933618273;24;100
75703950282273;25;100
75703966937273;25;100
75703983605273;24;100
75704000262273;25;100
75704016925273;25;100
75704033587273;24;100
75704050244273;22;100
75704066911273;23;100
75704083567273;22;100
75704100229273;22;100
75704116892273;24;100
75704133556273;23;100
75704150208273;24;100
75704166909273;24;100
75704183549273;24;100
75704200234273;24;100
75704216868273;23;100
75704233547273;23;100
75704250183273;25;100
75704266861273;0;0
75704283565273;0;0
75704300220273;0;0
75704316871273;0;0
75704333503273;0;0
75704350159273;0;0
75704366870273;32;100
75704383487273;31;100
75704400158273;32;100
75704416819273;31;100
75704433484273;33;100
75704450151273;31;100
75704466797273;32;100
75704483451273;33;100
75704500120273;32;100
75704516782273;33;100
75704533445273;32;100
75704550104273;30;100
75704566783273;30;100
75704583432273;30;100
75704600089273;31;100
75704616764273;33;100
75704633419273;32;100
75704650122273;33;100
75704666739273;31;100
75704683403273;30;100
75704700061273;29;100
75704716728273;31;100
75704733394273;33;100
75704750044273;32;100
75704766712273;30;100
75704783380273;32;100
75704800037273;29;100
75704816691273;29;100
75704833364273;27;100
75704850026273;28;100
75704866684273;32;100
75704883360273;34;100
75704899994273;28;100
75704916673273;32;100
75704933329273;30;100
75704949999273;30;100
75704966653273;33;100
