TimeStamp;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
75701051090273;10002455;-12;242;1;10.344.828;3.886
75701067747273;10002455;-12;242;1;10.344.828;3.886
75701084414273;10002455;-12;242;1;10.344.828;3.886
75701101076273;10002455;-12;242;1;10.344.828;3.886
75701117739273;10002455;-12;242;1;10.344.828;3.886
75701134402273;10002455;-12;242;1;10.344.828;3.886
75701151064273;10002455;-12;242;1;10.344.828;3.886
75701167721273;10002455;-12;242;1;10.344.828;3.886
75701184386273;10002455;-12;242;1;10.344.828;3.886
75701201055273;10002455;-12;242;1;10.344.828;3.886
75701217749273;10002455;-12;242;1;10.344.828;3.886
75701234369273;10002455;-12;242;1;10.344.828;3.886
75701251028273;10002455;-12;242;1;10.344.828;3.886
75701267690273;10002455;-12;242;1;10.344.828;3.886
75701284351273;10002455;-12;242;1;10.344.828;3.886
75701301017273;10002455;-12;242;1;10.344.828;3.886
75701317677273;10002455;-12;242;1;10.344.828;3.886
75701334344273;10002455;-12;242;1;10.344.828;3.886
75701351001273;10002455;-12;242;1;10.344.828;3.886
75701367674273;10002455;-12;242;1;10.344.828;3.886
75701384323273;10002455;-12;242;1;10.344.828;3.886
75701400989273;10002455;-12;242;1;10.344.828;3.886
75701417658273;10002455;-12;242;1;10.344.828;3.886
75701434313273;10002455;-12;242;1;10.344.828;3.886
75701450978273;10002455;-12;242;1;10.344.828;3.886
75701467648273;10002455;-12;242;1;10.344.828;3.886
75701484302273;10002455;-12;242;1;10.344.828;3.886
75701500966273;10002455;-12;242;1;10.344.828;3.886
75701517630273;10002455;-12;242;1;10.344.828;3.886
75701534288273;10002455;-12;242;1;10.344.828;3.886
75701550948273;10002455;-12;242;1;10.344.828;3.886
75701567601273;10002455;-12;242;1;10.344.828;3.886
75701584271273;10002455;-12;242;1;10.344.828;3.886
75701600928273;10002455;-12;242;1;10.344.828;3.886
75701617595273;10002455;-12;242;1;10.344.828;3.886
75701634254273;10002455;-12;242;1;10.344.828;3.886
75701650915273;10002455;-12;242;1;10.344.828;3.886
75701667592273;10002455;-12;242;1;10.344.828;3.886
75701684254273;10002455;-12;242;1;10.344.828;3.886
75701700914273;10002455;-12;242;1;10.344.828;3.886
75701717569273;10002455;-12;242;1;10.344.828;3.886
75701734225273;10002455;-12;242;1;10.344.828;3.886
75701750892273;10002455;-12;242;1;10.344.828;3.886
75701767585273;10002455;-12;242;1;10.344.828;3.886
75701784217273;10002455;-12;242;1;10.344.828;3.886
75701800874273;10002455;-12;242;1;10.344.828;3.886
75701817537273;10002455;-12;242;1;10.344.828;3.886
75701834206273;10002455;-12;242;1;10.344.828;3.886
75701850864273;10002455;-12;242;1;10.344.828;3.886
75701867578273;10002455;-12;242;1;10.344.828;3.886
75701884277273;10002455;-12;242;1;10.344.828;3.886
75701900847273;10002455;-12;242;1;10.344.828;3.886
75701917518273;10002455;-12;242;1;10.344.828;3.886
75701934178273;10002455;-12;242;1;10.344.828;3.886
75701950832273;10002455;-12;242;1;10.344.828;3.886
75701967495273;10002455;-12;242;1;10.344.828;3.886
75701984155273;10002455;-12;242;1;10.344.828;3.886
75702000822273;10002455;-12;242;1;10.344.828;3.886
75702017478273;10002455;-12;242;1;10.344.828;3.886
75702034195273;10002455;-12;242;1;10.344.828;3.886
75702050800273;10002455;-12;242;1;10.344.828;3.886
75702067468273;10002455;-12;242;1;10.344.828;3.886
75702084139273;10002455;-12;242;1;10.344.828;3.886
75702100791273;10002455;-12;242;1;10.344.828;3.886
75702117454273;10002455;-12;242;1;10.344.828;3.886
75702134143273;10002455;-12;242;1;10.344.828;3.886
75702150776273;10002455;-12;242;1;10.344.828;3.886
75702167454273;10002455;-12;242;1;10.344.828;3.886
75702184105273;10002455;-12;242;1;10.344.828;3.886
75702200768273;10002455;-12;242;1;10.344.828;3.886
75702217429273;10002455;-12;242;1;10.344.828;3.886
75702234089273;10002455;-12;242;1;10.344.828;3.886
75702250748273;10002455;-12;242;1;10.344.828;3.886
75702267412273;10002455;-12;242;1;10.344.828;3.886
75702284073273;10002455;-12;242;1;10.344.828;3.886
75702300736273;10002455;-12;242;1;10.344.828;3.886
75702317394273;10002455;-12;242;1;10.344.828;3.886
75702334059273;10002455;-12;242;1;10.344.828;3.886
75702350743273;10002455;-12;242;1;10.344.828;3.886
75702367383273;10002455;-12;242;1;10.344.828;3.886
75702384045273;10002455;-12;242;1;10.344.828;3.886
