TimeStamp;Hue;Brightness;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
75701051090273;8;100;10002455;-12;242;1;10.344.828;3.886
75701067747273;25;100;10002455;-12;242;1;10.344.828;3.886
75701084414273;20;100;10002455;-12;242;1;10.344.828;3.886
75701101076273;23;100;10002455;-12;242;1;10.344.828;3.886
75701117739273;25;100;10002455;-12;242;1;10.344.828;3.886
75701134402273;24;100;10002455;-12;242;1;10.344.828;3.886
75701151064273;23;100;10002455;-12;242;1;10.344.828;3.886
75701167721273;24;100;10002455;-12;242;1;10.344.828;3.886
75701184386273;24;100;10002455;-12;242;1;10.344.828;3.886
75701201055273;26;100;10002455;-12;242;1;10.344.828;3.886
75701217749273;25;100;10002455;-12;242;1;10.344.828;3.886
75701234369273;25;100;10002455;-12;242;1;10.344.828;3.886
75701251028273;24;100;10002455;-12;242;1;10.344.828;3.886
75701267690273;26;100;10002455;-12;242;1;10.344.828;3.886
75701284351273;25;100;10002455;-12;242;1;10.344.828;3.886
75701301017273;24;100;10002455;-12;242;1;10.344.828;3.886
75701317677273;26;100;10002455;-12;242;1;10.344.828;3.886
75701334344273;25;100;10002455;-12;242;1;10.344.828;3.886
75701351001273;24;100;10002455;-12;242;1;10.344.828;3.886
75701367674273;24;100;10002455;-12;242;1;10.344.828;3.886
75701384323273;26;100;10002455;-12;242;1;10.344.828;3.886
75701400989273;23;100;10002455;-12;242;1;10.344.828;3.886
75701417658273;24;100;10002455;-12;242;1;10.344.828;3.886
75701434313273;25;100;10002455;-12;242;1;10.344.828;3.886
75701450978273;24;100;10002455;-12;242;1;10.344.828;3.886
75701467648273;25;100;10002455;-12;242;1;10.344.828;3.886
75701484302273;24;100;10002455;-12;242;1;10.344.828;3.886
75701500966273;24;100;10002455;-12;242;1;10.344.828;3.886
75701517630273;22;100;10002455;-12;242;1;10.344.828;3.886
75701534288273;25;100;10002455;-12;242;1;10.344.828;3.886
75701550948273;23;100;10002455;-12;242;1;10.344.828;3.886
75701567601273;23;100;10002455;-12;242;1;10.344.828;3.886
75701584271273;23;100;10002455;-12;242;1;10.344.828;3.886
75701600928273;24;100;10002455;-12;242;1;10.344.828;3.886
75701617595273;25;100;10002455;-12;242;1;10.344.828;3.886
75701634254273;25;100;10002455;-12;242;1;10.344.828;3.886
75701650915273;23;100;10002455;-12;242;1;10.344.828;3.886
75701667592273;21;100;10002455;-12;242;1;10.344.828;3.886
75701684254273;26;100;10002455;-12;242;1;10.344.828;3.886
75701700914273;23;100;10002455;-12;242;1;10.344.828;3.886
75701717569273;24;100;10002455;-12;242;1;10.344.828;3.886
75701734225273;24;100;10002455;-12;242;1;10.344.828;3.886
75701750892273;24;100;10002455;-12;242;1;10.344.828;3.886
75701767585273;25;100;10002455;-12;242;1;10.344.828;3.886
75701784217273;23;100;10002455;-12;242;1;10.344.828;3.886
75701800874273;20;100;10002455;-12;242;1;10.344.828;3.886
75701817537273;24;100;10002455;-12;242;1;10.344.828;3.886
75701834206273;25;100;10002455;-12;242;1;10.344.828;3.886
75701850864273;24;100;10002455;-12;242;1;10.344.828;3.886
75701867578273;25;100;10002455;-12;242;1;10.344.828;3.886
75701884277273;25;100;10002455;-12;242;1;10.344.828;3.886
75701900847273;25;100;10002455;-12;242;1;10.344.828;3.886
75701917518273;24;100;10002455;-12;242;1;10.344.828;3.886
75701934178273;25;100;10002455;-12;242;1;10.344.828;3.886
75701950832273;23;100;10002455;-12;242;1;10.344.828;3.886
75701967495273;25;100;10002455;-12;242;1;10.344.828;3.886
75701984155273;23;100;10002455;-12;242;1;10.344.828;3.886
75702000822273;24;100;10002455;-12;242;1;10.344.828;3.886
75702017478273;23;100;10002455;-12;242;1;10.344.828;3.886
75702034195273;25;100;10002455;-12;242;1;10.344.828;3.886
75702050800273;22;100;10002455;-12;242;1;10.344.828;3.886
75702067468273;0;0;10002455;-12;242;1;10.344.828;3.886
75702084139273;0;0;10002455;-12;242;1;10.344.828;3.886
75702100791273;0;0;10002455;-12;242;1;10.344.828;3.886
75702117454273;0;0;10002455;-12;242;1;10.344.828;3.886
75702134143273;0;0;10002455;-12;242;1;10.344.828;3.886
75702150776273;0;0;10002455;-12;242;1;10.344.828;3.886
75702167454273;24;100;10002455;-12;242;1;10.344.828;3.886
75702184105273;24;100;10002455;-12;242;1;10.344.828;3.886
75702200768273;20;100;10002455;-12;242;1;10.344.828;3.886
75702217429273;24;100;10002455;-12;242;1;10.344.828;3.886
75702234089273;24;100;10002455;-12;242;1;10.344.828;3.886
75702250748273;25;100;10002455;-12;242;1;10.344.828;3.886
75702267412273;25;100;10002455;-12;242;1;10.344.828;3.886
75702284073273;24;100;10002455;-12;242;1;10.344.828;3.886
75702300736273;25;100;10002455;-12;242;1;10.344.828;3.886
75702317394273;23;100;10002455;-12;242;1;10.344.828;3.886
75702334059273;26;100;10002455;-12;242;1;10.344.828;3.886
75702350743273;23;100;10002455;-12;242;1;10.344.828;3.886
75702367383273;24;100;10002455;-12;242;1;10.344.828;3.886
75702384045273;25;100;10002455;-12;242;1;10.344.828;3.886
75702400708273;26;100;10002455;-12;242;1;10.344.828;3.886
75702417385273;23;100;10002455;-12;242;1;10.344.828;3.886
75702434032273;23;100;10002455;-12;242;1;10.344.828;3.886
75702450693273;24;100;10002455;-12;242;1;10.344.828;3.886
75702467356273;22;100;10002455;-12;242;1;10.344.828;3.886
75702484021273;23;100;10002455;-12;242;1;10.344.828;3.886
75702500676273;24;100;10002455;-12;242;1;10.344.828;3.886
75702517343273;26;100;10002455;-12;242;1;10.344.828;3.886
75702534004273;24;100;10002455;-12;242;1;10.344.828;3.886
75702550661273;24;100;10002455;-12;242;1;10.344.828;3.886
75702567328273;24;100;10002455;-12;242;1;10.344.828;3.886
75702583990273;25;100;10002455;-12;242;1;10.344.828;3.886
75702600650273;23;100;10002455;-12;242;1;10.344.828;3.886
75702617330273;25;100;10002455;-12;242;1;10.344.828;3.886
75702633984273;24;100;10002455;-12;242;1;10.344.828;3.886
75702650634273;26;100;10002455;-12;242;1;10.344.828;3.886
75702667301273;25;100;10002455;-12;242;1;10.344.828;3.886
75702683960273;23;100;10002455;-12;242;1;10.344.828;3.886
75702700621273;23;100;10002455;-12;242;1;10.344.828;3.886
75702717291273;22;100;10002455;-12;242;1;10.344.828;3.886
75702733948273;25;100;10002455;-12;242;1;10.344.828;3.886
75702750610273;24;100;10002455;-12;242;1;10.344.828;3.886
75702767267273;21;100;10002455;-12;242;1;10.344.828;3.886
75702783930273;25;100;10002455;-12;242;1;10.344.828;3.886
75702800701273;25;100;10002455;-12;242;1;10.344.828;3.886
75702817254273;24;100;10002455;-12;242;1;10.344.828;3.886
75702833919273;25;100;10002455;-12;242;1;10.344.828;3.886
75702850574273;26;100;10002455;-12;242;1;10.344.828;3.886
75702867239273;24;100;10002455;-12;242;1;10.344.828;3.886
75702883899273;25;100;10002455;-12;242;1;10.344.828;3.886
75702900567273;26;100;10002455;-12;242;1;10.344.828;3.886
75702917265273;24;100;10002455;-12;242;1;10.344.828;3.886
75702933890273;23;100;10002455;-12;242;1;10.344.828;3.886
75702950609273;23;100;10002455;-12;242;1;10.344.828;3.886
75702967216273;25;100;10002455;-12;242;1;10.344.828;3.886
75702983899273;26;100;10002455;-12;242;1;10.344.828;3.886
75703000550273;24;100;10002455;-12;242;1;10.344.828;3.886
75703017200273;25;100;10002455;-12;242;1;10.344.828;3.886
75703033864273;23;100;10002455;-12;242;1;10.344.828;3.886
75703050527273;25;100;10002455;-12;242;1;10.344.828;3.886
75703067211273;25;100;10002455;-12;242;1;10.344.828;3.886
75703083871273;26;100;10002455;-12;242;1;10.344.828;3.886
75703100517273;24;100;10002455;-12;242;1;10.344.828;3.886
75703117184273;25;100;10002455;-12;242;1;10.344.828;3.886
75703133853273;21;100;10002455;-12;242;1;10.344.828;3.886
75703150496273;24;100;10002455;-12;242;1;10.344.828;3.886
