TimeStamp;Hue;Brightness
1278361805933864;7;100
1278361839257325;6;100
1278361872583056;7;100
1278361905902787;7;100
1278361939229556;7;100
1278361972556325;6;100
1278362005884210;7;100
1278362039205248;8;100
1278362072535441;6;100
1278362105886825;7;100
1278362139180056;6;100
1278362172502594;7;100
1278362205902940;6;100
1278362239153287;8;100
1278362272539902;7;100
1278362305875940;7;100
1278362339122710;7;100
1278362372443210;7;100
1278362405771171;8;100
1278362439095402;8;100
1278362472423363;7;100
1278362505742402;7;100
1278362539068402;8;100
1278362572393056;7;100
1278362605796286;8;100
1278362639046094;6;100
1278362672361902;6;100
1278362705783325;7;100
1278362739014017;7;100
1278362772339709;7;100
1278362805669748;6;100
1278362838998171;0;0
1278362872308671;0;0
1278362905638209;7;100
1278362938955748;8;100
1278362972286632;7;100
1278363005611017;8;100
1278363038938555;7;100
1278363072255978;7;100
1278363105585055;8;100
1278363138914209;7;100
1278363172227478;7;100
1278363205552247;8;100
1278363238879247;8;100
1278363272203055;7;100
1278363305531094;7;100
1278363338851940;8;100
1278363372181017;7;100
1278363405503709;7;100
1278363438897555;7;100
1278363472147901;8;100
1278363505558324;8;100
1278363538793324;8;100
1278363572128132;7;100
1278363605450093;7;100
1278363638775247;8;100
1278363672096247;7;100
1278363705421055;7;100
1278363738750824;8;100
1278363772067824;8;100
1278363805421709;6;100
1278363838726709;7;100
1278363872038593;7;100
1278363905364208;6;100
1278363938721478;0;0
1278363972010862;0;0
1278364005334939;7;100
1278364038666978;7;100
1278364071996208;6;100
1278364105318401;7;100
1278364138639093;7;100
1278364171965747;8;100
1278364205283208;6;100
1278364238612439;7;100
1278364271933670;7;100
1278364305263977;8;100
1278364338580900;7;100
1278364371909900;7;100
1278364405305362;8;100
1278364438576670;6;100
1278364471874170;6;100
1278364505198323;6;100
1278364538526823;7;100
1278364571858785;8;100
1278364605173323;7;100
1278364638574900;7;100
1278364671825208;7;100
1278364705153246;7;100
1278364738470054;7;100
1278364771801592;7;100
1278364805122631;7;100
1278364838444285;7;100
1278364871770169;8;100
1278364905095515;7;100
1278364938423900;7;100
1278364971743631;8;100
1278365005068131;8;100
1278365038391785;0;0
1278365071715515;0;0
1278365105124708;9;100
1278365138360785;8;100
1278365171696284;9;100
1278365205009861;9;100
1278365238449361;9;100
1278365271659746;8;100
1278365304983631;10;100
1278365338302669;8;100
1278365371640438;8;100
1278365404953207;8;100
1278365438287092;8;100
1278365471608554;9;100
1278365504932900;9;100
1278365538252630;8;100
1278365571587246;8;100
1278365604966746;8;100
1278365638313900;9;100
1278365671559207;8;100
1278365704983592;8;100
1278365738201553;9;100
1278365771526707;9;100
1278365804847669;8;100
1278365838181899;9;100
1278365871584553;8;100
1278365904822053;9;100
1278365938150553;8;100
1278365971467669;8;100
1278366004795169;9;100
1278366038118899;8;100
1278366071442438;8;100
1278366104871092;8;100
1278366138090553;0;0
1278366171422668;0;0
1278366204742361;7;100
1278366238066553;9;100
1278366271389284;9;100
1278366304714361;9;100
1278366338040438;9;100
1278366371362284;8;100
1278366404683745;9;100
1278366438004976;8;100
1278366471350745;8;100
1278366504658514;8;100
1278366537990476;8;100
1278366571307976;8;100
1278366604635014;8;100
1278366637953168;8;100
1278366671283091;8;100
1278366704601937;7;100
1278366737963091;8;100
1278366771268822;8;100
1278366804571476;10;100
1278366837893783;9;100
1278366871309591;9;100
1278366904540899;8;100
1278366937879514;8;100
1278366971222745;8;100
1278367004516591;9;100
1278367037871706;8;100
1278367071180475;9;100
1278367104527745;8;100
1278367137819822;7;100
1278367171145975;7;100
1278367204527398;9;100
1278367237795706;0;0
1278367271115591;0;0
1278367304489475;8;100
1278367337764129;9;100
1278367371095360;11;100
1278367404462706;11;100
1278367437755783;9;100
1278367471063898;10;100
1278367504387206;10;100
1278367537711937;11;100
1278367571033975;10;100
1278367604362398;10;100
1278367637685475;9;100
1278367671006244;10;100
1278367704333090;9;100
1278367737762667;10;100
1278367770981013;9;100
1278367804309283;9;100
1278367837627167;11;100
1278367870949936;9;100
1278367904281398;11;100
1278367937600436;9;100
1278367970928898;9;100
1278368004248629;10;100
1278368037584744;10;100
1278368070898013;10;100
1278368104228475;10;100
1278368137546013;10;100
1278368170878436;10;100
1278368204202936;10;100
1278368237530744;10;100
1278368270842128;10;100
1278368304170744;10;100
1278368337487167;0;0
