TimeStamp;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
1278361805933860;19990000;-20;125;1;0.58729833;7.758
1278361839257320;19990000;-20;125;1;0.58729833;7.758
1278361872583050;19990000;-20;100;1;0.58729833;7.758
1278361905902780;19990000;-20;100;1;0.58729833;7.758
1278361939229550;19990000;-20;100;1;0.58729833;7.758
1278361972556320;19990000;-20;100;1;0.58729833;7.758
1278362005884210;19990000;-20;100;1;0.58729833;7.758
1278362039205240;19990000;-20;100;1;0.58729833;7.758
1278362072535440;19990000;-20;100;1;0.58729833;7.758
1278362105886820;19990000;-20;100;1;0.58729833;7.758
1278362139180050;19990000;-20;100;1;0.58729833;7.758
1278362172502590;19990000;-20;100;1;0.58729833;7.758
1278362205902940;19990000;-20;100;1;0.58729833;7.758
1278362239153280;19990000;-20;100;1;0.58729833;7.758
1278362272539900;19990000;-20;100;1;0.58729833;7.758
1278362305875940;19990000;-20;100;1;0.58729833;7.758
1278362339122710;19990000;-20;100;1;0.58729833;7.758
1278362372443210;19990000;-20;100;1;0.58729833;7.758
1278362405771170;19990000;-20;100;1;0.58729833;7.758
1278362439095400;19990000;-20;100;1;0.58729833;7.758
1278362472423360;19990000;-20;100;1;0.58729833;7.758
1278362505742400;19990000;-20;100;1;0.58729833;7.758
1278362539068400;19990000;-20;100;1;0.58729833;7.758
1278362572393050;19990000;-20;100;1;0.58729833;7.758
1278362605796280;19990000;-20;100;1;0.58729833;7.758
1278362639046090;19990000;-20;100;1;0.58729833;7.758
1278362672361900;19990000;-20;100;1;0.58729833;7.758
1278362705783320;19990000;-20;100;1;0.58729833;7.758
1278362739014010;19990000;-20;100;1;0.58729833;7.758
1278362772339700;19990000;-20;100;1;0.58729833;7.758
1278362805669740;19990000;-20;100;1;0.58729833;7.758
1278362838998170;19990000;-20;100;1;0.58729833;7.758
1278362872308670;19990000;-20;100;1;0.58729833;7.758
1278362905638200;19990000;-20;100;1;0.58729833;7.758
1278362938955740;19990000;-20;100;1;0.58729833;7.758
1278362972286630;19990000;-20;100;1;0.58729833;7.758
1278363005611010;19990000;-20;100;1;0.58729833;7.758
1278363038938550;19990000;-20;100;1;0.58729833;7.758
1278363072255970;19990000;-20;100;1;0.58729833;7.758
1278363105585050;19990000;-20;100;1;0.58729833;7.758
1278363138914200;19990000;-20;100;1;0.58729833;7.758
1278363172227470;19990000;-20;100;1;0.58729833;7.758
1278363205552240;19990000;-20;100;1;0.58729833;7.758
1278363238879240;19990000;-20;100;1;0.58729833;7.758
1278363272203050;19990000;-20;100;1;0.58729833;7.758
1278363305531090;19990000;-20;100;1;0.58729833;7.758
1278363338851940;19990000;-20;100;1;0.58729833;7.758
1278363372181010;19990000;-20;100;1;0.58729833;7.758
1278363405503700;19990000;-20;100;1;0.58729833;7.758
1278363438897550;19990000;-20;100;1;0.58729833;7.758
1278363472147900;19990000;-20;100;1;0.58729833;7.758
1278363505558320;19990000;-20;100;1;0.58729833;7.758
1278363538793320;19990000;-20;100;1;0.58729833;7.758
1278363572128130;19990000;-20;100;1;0.58729833;7.758
1278363605450090;19990000;-20;100;1;0.58729833;7.758
1278363638775240;19990000;-20;100;1;0.58729833;7.758
1278363672096240;19990000;-20;100;1;0.58729833;7.758
1278363705421050;19990000;-20;100;1;0.58729833;7.758
1278363738750820;19990000;-20;100;1;0.58729833;7.758
1278363772067820;19990000;-20;100;1;0.58729833;7.758
1278363805421700;19990000;-20;100;1;0.58729833;7.758
1278363838726700;19990000;-20;100;1;0.58729833;7.758
1278363872038590;19990000;-20;100;1;0.58729833;7.758
1278363905364200;19990000;-20;100;1;0.58729833;7.758
1278363938721470;19990000;-20;100;1;0.58729833;7.758
1278363972010860;19990000;-20;100;1;0.58729833;7.758
1278364005334930;19990000;-20;100;1;0.58729833;7.758
1278364038666970;19990000;-20;100;1;0.58729833;7.758
1278364071996200;19990000;-20;100;1;0.58729833;7.758
1278364105318400;19990000;-20;100;1;0.58729833;7.758
1278364138639090;19990000;-20;100;1;0.58729833;7.758
1278364171965740;19990000;-20;100;1;0.58729833;7.758
1278364205283200;19990000;-20;100;1;0.58729833;7.758
1278364238612430;19990000;-20;100;1;0.58729833;7.758
1278364271933670;19990000;-20;100;1;0.58729833;7.758
1278364305263970;19990000;-20;100;1;0.58729833;7.758
1278364338580900;19990000;-20;100;1;0.58729833;7.758
1278364371909900;19990000;-20;100;1;0.58729833;7.758
1278364405305360;19990000;-20;100;1;0.58729833;7.758
1278364438576670;19990000;-20;100;1;0.58729833;7.758
1278364471874170;19990000;-20;100;1;0.58729833;7.758
1278364505198320;19990000;-20;100;1;0.58729833;7.758
1278364538526820;19990000;-20;100;1;0.58729833;7.758
1278364571858780;19990000;-20;100;1;0.58729833;7.758
1278364605173320;19990000;-20;100;1;0.58729833;7.758
1278364638574900;19990000;-20;100;1;0.58729833;7.758
1278364671825200;19990000;-20;100;1;0.58729833;7.758
1278364705153240;19990000;-20;100;1;0.58729833;7.758
1278364738470050;19990000;-20;100;1;0.58729833;7.758
1278364771801590;19990000;-20;100;1;0.58729833;7.758
1278364805122630;19990000;-20;100;1;0.58729833;7.758
1278364838444280;19990000;-20;100;1;0.58729833;7.758
1278364871770160;19990000;-20;100;1;0.58729833;7.758
1278364905095510;19990000;-20;100;1;0.58729833;7.758
1278364938423900;19990000;-20;100;1;0.58729833;7.758
1278364971743630;19990000;-20;100;1;0.58729833;7.758
1278365005068130;19990000;-20;100;1;0.58729833;7.758
1278365038391780;19990000;-20;100;1;0.58729833;7.758
1278365071715510;19990000;-20;100;1;0.58729833;7.758
1278365105124700;19990000;-20;100;1;0.58729833;7.758
1278365138360780;19990000;-20;100;1;0.58729833;7.758
1278365171696280;19990000;-20;100;1;0.58729833;7.758
1278365205009860;19990000;-20;100;1;0.58729833;7.758
1278365238449360;19990000;-20;100;1;0.58729833;7.758
1278365271659740;19990000;-20;100;1;0.58729833;7.758
1278365304983630;19990000;-20;100;1;0.58729833;7.758
1278365338302660;19990000;-20;100;1;0.58729833;7.758
1278365371640430;19990000;-20;100;1;0.58729833;7.758
1278365404953200;19990000;-20;100;1;0.58729833;7.758
1278365438287090;19990000;-20;100;1;0.58729833;7.758
1278365471608550;19990000;-20;100;1;0.58729833;7.758
1278365504932900;19990000;-20;100;1;0.58729833;7.758
1278365538252630;19990000;-20;100;1;0.58729833;7.758
1278365571587240;19990000;-20;100;1;0.58729833;7.758
1278365604966740;19990000;-20;100;1;0.58729833;7.758
1278365638313900;19990000;-20;100;1;0.58729833;7.758
1278365671559200;19990000;-20;100;1;0.58729833;7.758
1278365704983590;19990000;-20;100;1;0.58729833;7.758
1278365738201550;19990000;-20;100;1;0.58729833;7.758
1278365771526700;19990000;-20;100;1;0.58729833;7.758
1278365804847660;19990000;-20;100;1;0.58729833;7.758
1278365838181890;19990000;-20;100;1;0.58729833;7.758
1278365871584550;19990000;-20;100;1;0.58729833;7.758
1278365904822050;19990000;-20;100;1;0.58729833;7.758
1278365938150550;19990000;-20;100;1;0.58729833;7.758
1278365971467660;19990000;-20;100;1;0.58729833;7.758
1278366004795160;19990000;-20;100;1;0.58729833;7.758
1278366038118890;19990000;-20;100;1;0.58729833;7.758
1278366071442430;19990000;-20;100;1;0.58729833;7.758
1278366104871090;19990000;-20;100;1;0.58729833;7.758
1278366138090550;19990000;-20;100;1;0.58729833;7.758
1278366171422660;19990000;-20;100;1;0.58729833;7.758
1278366204742360;19990000;-20;100;1;0.58729833;7.758
1278366238066550;19990000;-20;100;1;0.58729833;7.758
1278366271389280;19990000;-20;100;1;0.58729833;7.758
1278366304714360;19990000;-20;100;1;0.58729833;7.758
1278366338040430;19990000;-20;100;1;0.58729833;7.758
1278366371362280;19990000;-20;100;1;0.58729833;7.758
1278366404683740;19990000;-20;100;1;0.58729833;7.758
